"title","object","action","food","allplay"
"Lizard","deodorant","annoy","Melon","Blue Lagoon"
"Camel","pair of dice","dry","Laundry basket","St. Marks Basilica and Campanile"
"Sea lion","cookie tin","deceive","Bread","Whale"
"Turtle","wedding ring","peck","Bucket","Giraffe"
"Otter","domino set","suffer","Onion","Dragonfly"
"Ox","hair tie","disarm","Kebab","Times Square"
"Centipede","sharpie","attract","Telephone","Bee"
"Octopus","mp3 player","shock","Water purifier","Cat"
"The Great Sphinx","speakers","shop","Apple","Coyote"
"Clams","beaded bracelet","slap","Tea","Brandenburg Gate, Berlin"
"Golden Gate Bridge","stick of incense","face","Grapefruit","Amalienborg Palace"
"Berlin Cathedral","can of peas","arrive","Hose","Christ the Redeemer - Rio De Janerio, Brazil"
"Willis Tower (Sears Tower)","martini glass","subtract","Mop","Starfish"
"Neuschwanstein Castle","crowbar","complete","Cherry","Mayan Pyramids of Chichen Itza"
"Pelican","safety pin","laugh","Baking tray","Elk"
"Temple of Luxor","lotion","unite","Strawberry","Seal"
"Manneken Pis, Brussels","card","correct","Electric kettle/ Hot pot","Crab"
"London Eye","garden spade","lie","Mixer","Mecca"
"Great Wall of China","Christmas ornament","exist","Stove","Elephant"
"Koala","toothpaste","enter","Papaya","Spider"
"Big Ben","sheet of paper","expand","starfruit","Arc de Triomphe"
"Lion","video games","cough","Chives","Tokyo Tower"
"Potala Palace, Lhasa","kitchen knife","head","Roller","The Grand Canyon"
"Walrus","sword","appreciate","Paintbrush","Reindeer"
"Sagrada Familia","bottle of sunscreen","guess","Vegetable","Elephant"
"Penguin","plush unicorn","float","Beer","Sydney Harbor Bridge"
"Alligator","lemon","attend","Microwave oven","Horse"
"Seagull","quilt","help","Oven glove","Cow"
"Rialto Bridge","candlestick","program","French beans","Puppy"
"Parrot","roll of stickers","switch","Ladle","Fish"
"Millau Bridge, France","game cartridge","apologise","Teapot","Acropolis, Greece"
"Alcatraz","spool of ribbon","blind","Light bulb","Squirrel"
"Sparrow","sidewalk","drop","Cereal","Raven"
"Giraffe","hair brush","want","Seafood","Mouse"
"Cockroach","hanger","greet","Remote","Uluru - Ayers Rock"
"Louse","pair of earrings","inject","Salad","Deer"
"Goldfish","car","warn","jelly roll","Swan"
"Versailles","class ring","present","Green tea","Otter"
"Grasshopper","baseball","excuse","Carrot","Vesuvio"
"Beetle","shopping bag","stay","Clock","Mont St. Michel, France"
"Mole","perfume","saw","Rubber gloves","The White House"
"Seagull","lamp shade","man","Milk","Festung Hohensalzburg"
"Space Needle","mouse pad","sail","White bread","Cologne Cathedral"
"Petra","packet of seeds","identify","Coffee cup","Tropical fish"
"St. Basils Cathedral","plush octopus","permit","Hair dryer","Hamster"
"Bat","salt shaker","dance","Juice","Buckingham Palace"
"Tivoli Gardens","shoe lace","blush","Coffee maker","Westminster Abbey"
"Frog","cork","plant","Corn","Central Park"
"Blue whale","bowl","jog","Refrigerator","Sydney Opera House"
"Flamingo","hair clip","marry","Casserole dish","Sheep"
"Sea anemone","egg","hurry","Tea bag","Snake"
"Mole","mobile phone","accept","Iced tea","ladybug"
"Butterfly","hand fan","wink","Scrub brush","Juliets Balcony"
"Bridge of Sighs","ipod charger","signal","Muffin","Fly"
"Pentagon","package of glitter","whine","Avocado","St. Peters Basilica"
"Horse","cell phone","advise","Microwave","Chapel Bridge"
"Ostrich","toe ring","paint","Pretzel","Dog"
"Santorini","bar of soap","injure","Mustard","Helsinki Cathedral"
"Loch Ness","sand paper","colour","Rice cooker","Ducks"
"Mount Fuji","slipper","buzz","Corkscrew","Papel Palace, Avignon"
"Walrus","shampoo","clean","Bread and butter plate","Oven"
"Winter Palace","matchbook","tame","Tea maker","Bleach"
"Crocodile","notepad","sin","Speaker","Rice"
"Oriental Pearl Tower","picture frame","question","Salad knife","Wine"
"Dove","plastic fork","divide","Blender","Electric fan"
"Turkey","spice bottle","frame","Pita","Banana"
"Crab","hair pin","rain","Breakfast burrito","Cooker"
"Moulin Rouge","pocketknife","park","Spice container","Grill"
"Statue of Liberty","mirror","groan","French fries","Colander"
"Squirrel","tennis ball","spoil","Pie plate","Clove"
"Madrid Palace","spool of thread","clap","Waffle","Dinner fork"
"Deer","mop","challenge","Rolling pin","Pineapple"
"Louvre Museum","phone","ruin","Tomato","Omelet"
"Empire State Building","jar of jam","pinch","Green chilli","Cilantro/coriander"
"Starfish","stick","stir","Whisk","Water cooler"
"Rabbit","plush dinosaur","sigh","Measuring spoon","Torch"
"Kangaroo","children's book","own","Butter dish","Small oven"
"Brooklyn Bridge","pair of socks","sneeze","Fried chicken","Apron"
"Chimpanzee","water","hum","Kitchen hood","Kitchen counter"
"Hippopotamus","shark","connect","Bachelor griller/ grill","Wooden spoon"
"Lobster","chalk","nod","Watermelon","Flour"
"Stork","eraser","kick","Fork","Croissant"
"Sea urchin","bottle of honey","alert","Toast","Peach"
"Blue Mosque, Istanbul","pocketwatch","behave","Cabbage","Broth"
"Arena Di Verona","desk","weigh","Water goblet","Chopping board"
"Kangaroo","clock","plan","Fries","Knife"
"Yellowstone National Park","baseball hat","tie","Bagel","Lemongrass"
"Oxford University","whip","welcome","Electric guitar","Meat"
"Giants Causeway","quartz crystal","blot","Iron","Chocolate milk"
"Pigeon","coffee pot","squeak","Trash can","Measuring cup"
"Bran Castle","eye liner","separate","Broom","Blueberry"
"Deer","letter opener","lighten","Fish","Pomegranate"
"Coyote","cookie jar","branch","Stepladder","Anglepoise lamp"
"Seahorse","leg warmers","boast","Chopsticks","Broccoli"
"Hedgehong","couch","sign","Cabinet","Smoothie"
"Bryce Canyon National Park","bangle bracelet","love","Fruit","Roll"
"Lascaux Caves, France","floor","mark","Butter","Salad fork"
"Cloud Gate, Chicago","toy car","jump","Bean","Spatula"
"Pyramids of Giza","ladle","employ","Taco","Cutlery"
"Monkey","pearl necklace","record","Bread basket","Egg"
"Fox","vase","beam","Grape","Dessert fork"
"Pond Du Garre","beef","report","Spring onions/green onions","Pizza"
"Moai","bottle of lotion","pump","Dustpan","Dishwasher"
"Penguin","blowdryer","learn","Squeegee mop","Honey"
"Death Valley","puddle","decay","Tossed salad","Dressing"
"Tsarskoye Selo (Catherine Palace), St Petersburg, Russia","pair of handcuffs","trick","Bay leaves","Bacon"
"Prague Castle","cement stone","live","Cake slice","Nectarine"
"Leaning Tower of Pisa","lime","end","Green chili","Mandarin"
"Mosquito","paint brush","hand","Asparagus","Sandwich"
"Dog","CD","heap","Red pepper/red bell pepper","Lamp"
"Shanghai World Finacial Center","empty tin can","screw","Jam","Evaporative cooler"
"Hare","wallet","slow","Juicer","Electric kettle"
"Atomium, Brussels","bottle of pills","analyse","Timer","Tomato juice"
"Terracotta Warriors","pencil holder","shrug","Breakfast cereal","Shallot"
"Ponte Vecchio","ipod","step","Ginger","Milkshake"
"Fish","football","pour","Laundry soap/ Laundry detergent","Candy"
"Chicken","toy plane","smoke","Pasta","Clothes iron"
"Toad","thimble","trip","Breakfast sandwich","Sponge"
"Guggenheim Museum (Bilbao)","candy cane","manage","Air conditioner","Green pepper"
"Shrimp","piece of gum","twist","Lantern","Soda"
"Coral","button","concern","Pancake","grid paper"
"Goose","wireless control","beg","Chicken nugget","pair of sunglasses"
"Goat","radio","increase","Red wine glass","sandal"
"Summer Palace, an Imperial Garden in Beijing","white out","invent","Apricot","catalogue"
"Leopard","hand bag","expect","Mango","novel"
"Everglades National Park","face wash","destroy","Steak","carrots"
"Koala","spool of wire","book","Yogurt","toy top"
"Kronborg Castle","fishing hook","number","Spoon","chapter book"
"Shark","rubber stamp","raise","Lime","clothes pin"
"Spanish Steps","whistle","gaze","Vacuum cleaner","food"
"Pompidue Center","nail filer","spark","Brussels sprout","water bottle"
"Pompeii","flyswatter","whip","Steak hammer","apple"
"Pelican","tooth pick","wrestle","Dinner table","sticker book"
"Otter","umbrella","strengthen","Ironing board","plush cat"
"Windsor Castle","key chain","sip","Lemon","book"
"Newgrange","window","explain","Cookie","bag of popcorn"
"Hollywood Sign","drawer","yawn","Mesh skimmer","knife"
"Dove","plush bear","test","Dish soap","toothpick"
"Washington Monument","house","continue","Drawer","money"
"Burj Khalifa","washcloth","relax","Electric drill","tomato"
"Tower Bridge","chain","guarantee","Cupboard","shirt"
"Capitol Hill","flag","attempt","Dinner plate","baseball bat"
"Angkor Wat, Cambodia","music CD","wait","Turmeric","thermometer"
"Sistine Chapel","straw","suspend","Pressure cooker","locket"
"Mount Etna","purse/bag","argue","Pedal bin","ring"
"Gorilla","toilet","film","Beverage opener","pen"
"Kremlin","ice cube","strip","Kettle","spoon"
"Edinburgh Castle","plate","rhyme","range hood","banana"
"Sheep","pail","knock","Mushroom","toy boat"
"Owl","can of beans","sound","Sausage","box"
"Parrot","soccer ball","dam","Cloth","bottle of ink"
"Bald eagle","book of jokes","tug","Courgette (U.K.)/zucchini (U.S.)","dagger"
"Little Mermaid","bed","move","Coconut milk","glasses"
"Table Mountain","drill press","measure","Sweet potato","bottle cap"
"Redwood National Park","pack of cards","crack","Aroma lamp","bottle of glue"
"Las Vegas","postage stamp","seal","Kitchen shears","dictionary"
"St. PaulS Cathedral","extension cord","hang","Hot dog bun","coffee mug"
"Jellyfish","paper","admit","Tea spoon","fridge"
"The Shard","basketball","examine","Onion ring","rolling pin"
"Swallow","lip gloss","breathe","Hamburger bun","light"
"Brighton Pier","hand mirror","curl","Saucer","toy soldier"
"Florence Cathedral","pencil","heal","Donut","chicken"
"Sacre Coeur, Paris","buckle","tip","Coffee","bonesaw"
"CN Tower","tree","imagine","Sugar","word search"
"Hippopotamus","tissue box","stain","Lettuce","dolphin"
"Woodpecker","squirt gun","dust","Salt","pop can"
"Piccadilly Circus","empty jar","grease","Jackfruit","plush dog"
"Gateway Arch","pool stick","enjoy","Salad spinner","table"
"Worm","credit card","roll","Bulb","rope"
"Wailing Wall","bracelet","ski","Plum","keychain"
"Mount Everest","pinecone","fancy","Spinach","bottle"
"Woodpecker","needle","time","Frying pan","teddies"
"Panda","scotch tape","settle","Potato","carrot"
"Tiger","box of chalk","list","Beetroot/beet (U.S.)","pepper shaker"
"Lion","rubber band","close","Raspberry","nail clippers"
"Disneyland Paris","bag","refuse","Sewing machine","rock"
"Dolphin","blouse","launch","Bowl","tennis racket"
"Bear","pasta strainer","overflow","Pea","beaded necklace"
"Bath, England","chair","tire","Cheese","wooden spoon"
"Cow","ice pick","rot","Hot dog","stockings"
"Monument Valley Navajo Tribal Park","box of crayons","exercise","Breadstick","judge"
"Alhambra","bottle of syrup","type","Rosemary","bang"
"Berlin Wall","acorn","last","Toaster","lock"
"Burj Al Arab Hotel","feather","knot","Cleaver","unfasten"
"Trevi Fountain","shovel","train","Ice cream","fry"
"Goat","snail shell","treat","Basil","like"
"Mount Rushmore","monitor","terrify","Cocoa","rescue"
"Fox","egg beater","cry","Mousetrap","instruct"
"Pig","wine glass","suck","Rye bread","rob"
"Rabbit","sofa","drown","Bachelor griller","bore"
"Piazza Del Campo, Siena","rhino","prefer","Radish","kneel"
"Owl","bottle of perfume","care","Ham","grab"
"Peacock","rusty nail","worry","Lemonade","return"
"Cormorant","cellphone","bare","Kiwi","scorch"
"Dolphin","spatula","wipe","Dinner knife","grate"
"Kilimanjaro","bottle of oil","drip","Celery","listen"
"Freedom Tower, Ground Zero","handful of change","occur","Cucumber","offer"
"Eiffel Tower","trucks","suggest","Orange juice","zoom"
"Notre Dame","tube of lipstick","rinse","Soup","juggle"
"Turkey","laser pointer","melt","Whole grain bread","follow"
"Iguazu National Park, Argentina","bouquet of flowers","ignore","Appliance plug","untidy"
"Mill Complex at Kinderdijk","handheld game system","spare","Dish towel","hover"
"Trafalgar Square","bandana","soothe","White wine glass","dislike"
"Portofino","remote","decorate","Television","hop"
"Kitten","keys","mix","Garlic","battle"
"Black bird","ocarina","smash","Eggplant","knit"
"Hawk","ice cream stick","flow","Hamburger","harm"
"Nyhavn","box of chocolates","retire","Fan","warm"
"Shells","milk","recognise","Artichoke","name"
"Ellis Island Immigration Museum","sticky note","happen","pot","drag"
"Mouse","camera","guard","Orange","regret"
"Squid","plush rabbit","hammer","Clothes dryer","cycle"
"Hedgehog","stop sign","answer","Turnip","amuse"
"Hollywood Walk of Fame","jigsaw puzzle","watch","Swede/rutabaga (U.S.)","vanish"
"Robin","shoes","consider","Liquid soap","brush"
"Hagia Sophia","egg timer","rock","Mint leaves","supply"
"Great Buddha","cowboy hat","entertain","Pear","complain"
"Arctic wolf","street lights","x-ray","Kitchen scale","plug"
"Rock of Gibraltar","jar of pickles","mate","Grater","bathe"
"Bee","model car","sparkle","Strainer","unpack"
"The Gherkin","door","land","Wall lantern","release"
"Victoria Falls","sponge","approve","Marmalade","clear"
"British Museum","dove","satisfy","Treadmill","miss"
"Colosseum","glass","disapprove","Coconut","place"
"The Forbidden City, China","container of pudding","moan","Bread and butter knife","drum"
"Rat","bookmark","open","Crock pot","trap"
"Raccoon","keyboard","crush","Napkin","reject"
"Petronas Twin Towers","thread","attack","Washing machine","play"
"Niagara Falls","bow","preserve","French bread/ baguette","bruise"
"Chimpanzee","box of markers","fear","Pumpkin","force"
"Moth","fake flowers","stroke","Drinks | Image","trace"
"Crow","conditioner","store","Chocolate","receive"
"White Cliffs of Dover","rug","rely","Red chillies/red chili peppers (U.S.)","squeeze"
"Taj Mahal","pillow","coach","Wheat bread","stare"
"Ant","plush pony","trot","Fish and chips","post"
"Machu Picchu","clothes","hook","Curling iron","back"
"Stonehenge","chenille stick","bow","Hanging pendant","wobble"
"Tower of London","cars","repair","Olive","confuse"
"Matterhorn","empty bottle","undress","Porridge","wriggle"
"Sea turtle","tea cup","damage","Water","poke"
